Pixel,Valor_PNG,Valor_YML,Diferenca
0,128,128,0
1,140,140.448,0.448181
2,152,152.776,0.776474
3,165,164.866,0.13385
4,176,176.601,0.6008
5,188,187.867,0.132614
6,198,198.557,0.557419
7,208,208.568,0.567947
8,218,217.803,0.197433
9,226,226.172,0.172333
10,234,233.597,0.403366
11,240,240.004,0.0039978
12,245,245.333,0.332703
13,250,249.531,0.468582
14,253,252.56,0.440262
15,254,254.388,0.388458
16,255,255,0
17,254,254.388,0.388458
18,253,252.56,0.440262
19,250,249.531,0.468582
20,245,245.333,0.332703
21,240,240.004,0.0039978
22,234,233.597,0.403366
23,226,226.172,0.172333
24,218,217.803,0.197433
25,208,208.568,0.567947
26,198,198.557,0.557419
27,188,187.867,0.132614
28,176,176.601,0.6008
29,165,164.866,0.13385
30,152,152.776,0.776474
31,140,140.448,0.448181
32,128,128,0
33,115,115.552,0.551826
34,103,103.224,0.223526
35,90,91.1338,1.13384
36,79,79.3992,0.3992
37,67,68.1326,1.13261
38,57,57.4426,0.442581
39,47,47.4321,0.432053
40,37,38.1974,1.19744
41,29,29.8277,0.827673
42,21,22.4034,1.40336
43,15,15.996,0.995999
44,10,10.6673,0.667299
45,5,6.46858,1.46858
46,2,3.44027,1.44027
47,1,1.61154,0.61154
48,0,1,1
49,1,1.61154,0.61154
50,2,3.44027,1.44027
51,5,6.46858,1.46858
52,10,10.6673,0.667299
53,15,15.996,0.995999
54,21,22.4034,1.40336
55,29,29.8277,0.827673
56,37,38.1974,1.19744
57,47,47.4321,0.432053
58,57,57.4426,0.442581
59,67,68.1326,1.13261
60,79,79.3992,0.3992
61,90,91.1338,1.13384
62,103,103.224,0.223526
63,115,115.552,0.551826
64,128,128,0
65,140,140.448,0.448181
66,152,152.776,0.776474
67,165,164.866,0.13385
68,176,176.601,0.6008
69,188,187.867,0.132614
70,198,198.557,0.557419
71,208,208.568,0.567947
72,218,217.803,0.197433
73,226,226.172,0.172333
74,234,233.597,0.403366
75,240,240.004,0.0039978
76,245,245.333,0.332703
77,250,249.531,0.468582
78,253,252.56,0.440262
79,254,254.388,0.388458
80,255,255,0
81,254,254.388,0.388458
82,253,252.56,0.440262
83,250,249.531,0.468582
84,245,245.333,0.332703
85,240,240.004,0.0039978
86,234,233.597,0.403366
87,226,226.172,0.172333
88,218,217.803,0.197433
89,208,208.568,0.567947
90,198,198.557,0.557419
91,188,187.867,0.132614
92,176,176.601,0.6008
93,165,164.866,0.13385
94,152,152.776,0.776474
95,140,140.448,0.448181
96,128,128,0
97,115,115.552,0.551826
98,103,103.224,0.223526
99,90,91.1338,1.13384
100,79,79.3992,0.3992
101,67,68.1326,1.13261
102,57,57.4426,0.442581
103,47,47.4321,0.432053
104,37,38.1974,1.19744
105,29,29.8277,0.827673
106,21,22.4034,1.40336
107,15,15.996,0.995999
108,10,10.6673,0.667299
109,5,6.46858,1.46858
110,2,3.44027,1.44027
111,1,1.61154,0.61154
112,0,1,1
113,1,1.61154,0.61154
114,2,3.44027,1.44027
115,5,6.46858,1.46858
116,10,10.6673,0.667299
117,15,15.996,0.995999
118,21,22.4034,1.40336
119,29,29.8277,0.827673
120,37,38.1974,1.19744
121,47,47.4321,0.432053
122,57,57.4426,0.442581
123,67,68.1326,1.13261
124,79,79.3992,0.3992
125,90,91.1338,1.13384
126,103,103.224,0.223526
127,115,115.552,0.551826
128,128,128,0
129,140,140.448,0.448181
130,152,152.776,0.776474
131,165,164.866,0.13385
132,176,176.601,0.6008
133,188,187.867,0.132614
134,198,198.557,0.557419
135,208,208.568,0.567947
136,218,217.803,0.197433
137,226,226.172,0.172333
138,234,233.597,0.403366
139,240,240.004,0.0039978
140,245,245.333,0.332703
141,250,249.531,0.468582
142,253,252.56,0.440262
143,254,254.388,0.388458
144,255,255,0
145,254,254.388,0.388458
146,253,252.56,0.440262
147,250,249.531,0.468582
148,245,245.333,0.332703
149,240,240.004,0.0039978
150,234,233.597,0.403366
151,226,226.172,0.172333
152,218,217.803,0.197433
153,208,208.568,0.567947
154,198,198.557,0.557419
155,188,187.867,0.132614
156,176,176.601,0.6008
157,165,164.866,0.13385
158,152,152.776,0.776474
159,140,140.448,0.448181
160,128,128,0
161,115,115.552,0.551826
162,103,103.224,0.223526
163,90,91.1338,1.13384
164,79,79.3992,0.3992
165,67,68.1326,1.13261
166,57,57.4426,0.442581
167,47,47.4321,0.432053
168,37,38.1974,1.19744
169,29,29.8277,0.827673
170,21,22.4034,1.40336
171,15,15.996,0.995999
172,10,10.6673,0.667299
173,5,6.46858,1.46858
174,2,3.44027,1.44027
175,1,1.61154,0.61154
176,0,1,1
177,1,1.61154,0.61154
178,2,3.44027,1.44027
179,5,6.46858,1.46858
180,10,10.6673,0.667299
181,15,15.996,0.995999
182,21,22.4034,1.40336
183,29,29.8277,0.827673
184,37,38.1974,1.19744
185,47,47.4321,0.432053
186,57,57.4426,0.442581
187,67,68.1326,1.13261
188,79,79.3992,0.3992
189,90,91.1338,1.13384
190,103,103.224,0.223526
191,115,115.552,0.551826
192,128,128,0
193,140,140.448,0.448181
194,152,152.776,0.776474
195,165,164.866,0.13385
196,176,176.601,0.6008
197,188,187.867,0.132614
198,198,198.557,0.557419
199,208,208.568,0.567947
200,218,217.803,0.197433
201,226,226.172,0.172333
202,234,233.597,0.403366
203,240,240.004,0.0039978
204,245,245.333,0.332703
205,250,249.531,0.468582
206,253,252.56,0.440262
207,254,254.388,0.388458
208,255,255,0
209,254,254.388,0.388458
210,253,252.56,0.440262
211,250,249.531,0.468582
212,245,245.333,0.332703
213,240,240.004,0.0039978
214,234,233.597,0.403366
215,226,226.172,0.172333
216,218,217.803,0.197433
217,208,208.568,0.567947
218,198,198.557,0.557419
219,188,187.867,0.132614
220,176,176.601,0.6008
221,165,164.866,0.13385
222,152,152.776,0.776474
223,140,140.448,0.448181
224,128,128,0
225,115,115.552,0.551826
226,103,103.224,0.223526
227,90,91.1338,1.13384
228,79,79.3992,0.3992
